"subject","id","moid","years","years2","exam2","tracer","activation","route","protein1","protein2"
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",0.659822039698836,0.229979466119097,"PET","CZ",NA,NA,"hM4Di",NA
"207","207R","#207",0.336755646817248,NA,"PET","CZ",NA,NA,"hM4Di",NA
"218","218J","#218",0,0,"PET","CZ",NA,NA,NA,NA
"218","218J","#218",0.112251882272416,NA,"PET","CZ",NA,NA,"hM4Di",NA
"163","163R","#163",0,0,"PET","CZ",NA,NA,NA,NA
"163","163R","#163",0,0,"PET","CZ",NA,NA,"hM4Di",NA
"153","153R","#153",1.42642026009582,0.996577686516085,"euthanize",NA,NA,NA,"hM4Di",NA
"218","218J","#218",0.490075290896646,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"207","207R","#207",1.22929500342231,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,NA,NA
"215","215R","#215",0,0,"PET","DCZ",NA,NA,NA,NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"221","221J","#221",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.131416837782341,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.153319644079398,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.172484599589322,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.210814510609172,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.268309377138946,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",0,0,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.292950034223135,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.306639288158795,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"201","201R","#201",0,0,"PET","DCZ",NA,NA,NA,NA
"215","215R","#215",0.344969199178645,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"215","215R","#215",0.421629021218344,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"223","223C","#223",0,0,"PET","DCZ",NA,NA,NA,NA
"225","225J","#225",0.112251882272416,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.459958932238193,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"215","215R","#215",0.498288843258042,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"163","163R","#163",1.36071184120465,0.131416837782341,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",0.517453798767967,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"223","223C","#223",0.082135523613963,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"215","215R","#215",0.572210814510609,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"236","236J","#236",0,0,"PET","DCZ",NA,NA,NA,NA
"223","223C","#223",0.123203285420945,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"223","223C","#223",0.136892539356605,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"221","221J","#221",0.692676249144422,0.15605749486653,"PET","DCZ",NA,NA,"hM4Di",NA
"223","223C","#223",0.175222450376454,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"201","201R","#201",0.123203285420945,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"223","223C","#223",0.219028062970568,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"223","223C","#223",0.235455167693361,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"236","236J","#236",0.112251882272416,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"221","221J","#221",0.922655715263518,0.386036960985626,"PET","DCZ",NA,NA,"hM4Di",NA
"221","221J","#221",0.960985626283368,0.424366872005476,"euthanize",NA,NA,NA,"hM4Di",NA
"238","238J","#238",0,0,"PET","DCZ",NA,NA,NA,NA
"241","241J","#241",0,0,"PET","DCZ",NA,NA,NA,NA
"223","223C","#223",0.503764544832307,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"223","223C","#223",0.528405201916496,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"223","223C","#223",0.583162217659138,NA,"euthanize",NA,NA,NA,"hM3Dq",NA
"241","241J","#241",0.082135523613963,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"241","241J","#241",0.123203285420945,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"241","241J","#241",0.134154688569473,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"238","238J","#238",0.11772758384668,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"215","215R","#215",1.12799452429843,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",0.999315537303217,0.229979466119097,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.00205338809035,0.232717316906229,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.01026694045175,0.240930869267625,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.01300479123888,0.243668720054757,"Behavior",NA,1,"i.m.","hM4Di",NA
"241","241J","#241",0.175222450376454,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"229","229R","#229",1.01574264202601,0.246406570841889,"Behavior",NA,0,"i.m.","hM4Di",NA
"215","215R","#215",1.15263518138261,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",1.01848049281314,0.249144421629021,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.02121834360027,0.251882272416153,"Behavior",NA,0,"i.m.","hM4Di",NA
"218","218J","#218",2.21492128678987,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"229","229R","#229",1.0321697467488,0.262833675564682,"PET","DCZ",NA,NA,"hM4Di",NA
"229","229R","#229",1.03490759753593,0.265571526351814,"Behavior",NA,1,"i.m.","hM4Di",NA
"241","241J","#241",0.197125256673511,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"215","215R","#215",1.17180013689254,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.03764544832307,0.268309377138946,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.0403832991102,0.271047227926078,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.06776180698152,0.298425735797399,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.07323750855578,0.303901437371663,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.07597535934292,0.306639288158795,"Behavior",NA,1,"i.m.","hM4Di",NA
"218","218J","#218",2.26146475017112,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"229","229R","#229",1.08966461327858,0.320328542094456,"Behavior",NA,0,"i.m.","hM4Di",NA
"215","215R","#215",1.22655715263518,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.09787816563997,0.328542094455852,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.12525667351129,0.355920602327173,"Behavior",NA,0,"i.m.","hM4Di",NA
"215","215R","#215",1.26762491444216,NA,"Behavior",NA,1,"i.m.","hM3Dq",NA
"229","229R","#229",1.13347022587269,0.364134154688569,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.13620807665982,0.366872005475702,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.14442162902122,0.375085557837098,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.14715947980835,0.37782340862423,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.14989733059548,0.380561259411362,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.16632443531828,0.396988364134155,"Behavior",NA,0,"i.m.","hM4Di",NA
"241","241J","#241",0.328542094455852,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"229","229R","#229",1.17180013689254,0.402464065708419,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.18275154004107,0.413415468856947,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.1854893908282,0.416153319644079,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.19096509240246,0.421629021218344,"Behavior",NA,0,"i.m.","hM4Di",NA
"241","241J","#241",0.353182751540041,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.1937029431896,0.424366872005476,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.20191649555099,0.432580424366872,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.20465434633812,0.435318275154004,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.21013004791239,0.440793976728268,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.21286789869952,0.4435318275154,"Behavior",NA,1,"i.m.","hM4Di",NA
"241","241J","#241",0.39151266255989,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"229","229R","#229",1.24572210814511,0.476386036960986,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.24845995893224,0.479123887748118,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.27857631759069,0.509240246406571,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.28131416837782,0.511978097193703,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.28405201916496,0.514715947980835,"Behavior",NA,0,"i.m.","hM4Di",NA
"229","229R","#229",1.28678986995209,0.517453798767967,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.29226557152635,0.522929500342231,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.30047912388775,0.531143052703628,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.30595482546201,0.536618754277892,"Behavior",NA,1,"i.m.","hM4Di",NA
"241","241J","#241",0.48186173853525,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"241","241J","#241",0.498288843258042,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"238","238J","#238",0.487337440109514,NA,"PET","DCZ",NA,NA,"hM4Di",NA
"234","234J","#234",0,0,"PET","DCZ",NA,NA,NA,NA
"207","207R","#207",3.11567419575633,NA,"euthanize",NA,NA,NA,"hM4Di",NA
"229","229R","#229",1.44010951403149,0.670773442847365,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.45653661875428,0.687200547570157,"Behavior",NA,0,"micro infusion","hM4Di",NA
"236","236J","#236",0.991101984941821,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"229","229R","#229",1.45927446954141,0.68993839835729,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.46201232032854,0.692676249144422,"Behavior",NA,1,"micro infusion","hM4Di",NA
"245","245J","#245",0,0,"PET","DCZ",NA,NA,NA,NA
"229","229R","#229",1.47022587268994,0.700889801505818,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.47296372347707,0.70362765229295,"Behavior",NA,1,"micro infusion","hM4Di",NA
"215","215R","#215",1.60985626283368,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.4757015742642,0.706365503080082,"Behavior",NA,1,"micro infusion","hM4Di",NA
"236","236J","#236",1.01026694045175,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.48117727583847,0.711841204654346,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.492128678987,0.722792607802875,"Behavior",NA,1,"micro infusion","hM4Di",NA
"236","236J","#236",1.02669404517454,NA,"PET","DCZ",NA,NA,"hM3Dq",NA
"229","229R","#229",1.49486652977413,0.725530458590007,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.49760438056126,0.728268309377139,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.50034223134839,0.731006160164271,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.50855578370979,0.739219712525667,"Behavior",NA,1,"micro infusion","hM4Di",NA
"236","236J","#236",1.04312114989733,NA,"PET","FDG",0,"i.v.","hM3Dq",NA
"229","229R","#229",1.51129363449692,0.741957563312799,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.51403148528405,0.744695414099932,"Behavior",NA,1,"micro infusion","hM4Di",NA
"215","215R","#215",1.65092402464066,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.51676933607118,0.747433264887064,"Behavior",NA,1,"i.m.","hM4Di",NA
"236","236J","#236",1.05133470225873,NA,"PET","FDG",1,"i.v.","hM3Dq",NA
"229","229R","#229",1.52772073921971,0.758384668035592,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.53045859000684,0.761122518822724,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.53319644079398,0.763860369609856,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.53593429158111,0.766598220396988,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.53867214236824,0.769336071184121,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.54688569472964,0.777549623545517,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.54962354551677,0.780287474332649,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.5523613963039,0.783025325119781,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.55509924709103,0.785763175906913,"Behavior",NA,1,"micro infusion","hM4Di",NA
"229","229R","#229",1.55783709787817,0.788501026694045,"Behavior",NA,1,"i.m.","hM4Di",NA
"229","229R","#229",1.56605065023956,0.796714579055442,"Behavior",NA,0,"micro infusion","hM4Di",NA
"229","229R","#229",1.56878850102669,0.799452429842574,"Behavior",NA,0,"micro infusion","hM4Di",NA
